publisher_id,reason,evidence,author,dated
B5BC0228-0EA0-42E1-9EF1-021C8DB3E515,"Gungrog Brook arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 726.9 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 323,414.2 E 309,017.3 N with 726.9 km above it and no outflow; the link's upstream node at 324,514.9 E 308,673.8 N is in the set the crawl reaches, so it drains. Terrain 50 corroborates: the ground falls 38.4 m towards the end this reversal drains to, outside the ~4 m error bar. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
7FA2AA63-11F0-418D-BBE1-6CACBEB40464,"Luggy Brook arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 692.3 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 319,483.3 E 302,360.2 N with 692.3 km above it and no outflow; the link's upstream node at 320,971.0 E 302,167.2 N is in the set the crawl reaches, so it drains. Terrain 50 corroborates: the ground falls 15.1 m towards the end this reversal drains to, outside the ~4 m error bar. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
D3A770FB-C5C7-4A77-8A53-2EE9AA951C64,"River Dee arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 689.2 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 326,927.3 E 342,059.7 N with 689.2 km above it and no outflow; the link's upstream node at 327,332.8 E 341,752.4 N is in the set the crawl reaches, so it drains. Terrain 50 weakly corroborates: 3.3 m towards the end this drains to, inside the ~4 m error bar and therefore not evidence on its own. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
6908947B-479B-4237-BDF0-1F6A86853215,"an unnamed watercourse arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 664.9 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 378,684.8 E 163,416.3 N with 664.9 km above it and no outflow; the link's upstream node at 378,896.1 E 163,194.5 N is in the set the crawl reaches, so it drains. Terrain 50 corroborates: the ground falls 21.1 m towards the end this reversal drains to, outside the ~4 m error bar. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
6F3736F6-B3F2-4987-832F-5FADDC3D3788,"River Dove arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 663.5 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 426,582.5 E 327,367.7 N with 663.5 km above it and no outflow; the link's upstream node at 427,399.0 E 326,506.6 N is in the set the crawl reaches, so it drains. Terrain 50 weakly corroborates: 1.5 m towards the end this drains to, inside the ~4 m error bar and therefore not evidence on its own. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
EC82EB05-F9C1-4DDA-88B9-82AB6CDE345D,"an unnamed watercourse arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 613.7 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 328,908.6 E 211,694.4 N with 613.7 km above it and no outflow; the link's upstream node at 329,844.9 E 211,873.2 N is in the set the crawl reaches, so it drains. Terrain 50 corroborates: the ground falls 116.6 m towards the end this reversal drains to, outside the ~4 m error bar. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
96AB5320-B155-42E1-9A71-F86BA8A12B66,"River Clydach arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 588.4 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 323,800.0 E 214,120.8 N with 588.4 km above it and no outflow; the link's upstream node at 324,249.3 E 215,481.1 N is in the set the crawl reaches, so it drains. Terrain 50 corroborates: the ground falls 52.8 m towards the end this reversal drains to, outside the ~4 m error bar. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
6DB97474-B038-42FB-81FC-2BC04EA6B153,"Nant Iago arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 588.1 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 328,273.4 E 214,697.6 N with 588.1 km above it and no outflow; the link's upstream node at 328,399.5 E 214,397.3 N is in the set the crawl reaches, so it drains. Terrain 50 weakly corroborates: 1.8 m towards the end this drains to, inside the ~4 m error bar and therefore not evidence on its own. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
14E21522-6DA9-4871-BA04-79D549F59BB2,"Baiden Brook arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 574.0 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 325,733.2 E 214,016.2 N with 574.0 km above it and no outflow; the link's upstream node at 326,375.7 E 214,783.0 N is in the set the crawl reaches, so it drains. Terrain 50 corroborates: the ground falls 75.4 m towards the end this reversal drains to, outside the ~4 m error bar. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
C333ECE6-2B80-4C3D-8343-5F298F15E72C,"Shobnall Brook arrives at a node with no outflow, so the water stops. Its OTHER end is at a node the crawl has already reached, which means that end drains to the sea. A link drawn from a place the water can leave towards a place it cannot is drawn backwards; turned round, it carries 486.9 km of stranded catchment out.","Measured on OS Open Rivers issue 2026-04: the dead end is at 421,875.0 E 324,005.7 N with 486.9 km above it and no outflow; the link's upstream node at 425,586.8 E 324,409.0 N is in the set the crawl reaches, so it drains. Terrain 50 corroborates: the ground falls 24.9 m towards the end this reversal drains to, outside the ~4 m error bar. Asked of THIS inflow and not of the node, so that reversing one of several inflows cannot point the water deeper into the same stranded region (§5). JUDGED BY RULE, not by a person looking at the place: see rewt/candidates.py propose_reversals.","rewt candidates (rule), reviewed by Claude",2026-08-31
